What,Where,When,How_Much
Phil Bates &amp; Band perform the music of E.L.O.,"[55.68181879999999, 12.4566722]",2000,355
Stine Bramsen.,"[55.6575405, 12.5905654]",2000,195
Koppel - Sonne - Binzer.,"[55.6575405, 12.5905654]",2100,345
"Morten Grønvad ""The End"".","[55.68379270000001, 12.5762312]",1530,120
Fredagskoncert: Musik For To Orgler.,"[55.6815933, 12.5761475]",1630,
Cphphil Mægtige Bruckner.,"[55.68111589999999, 12.5528412]",1930,210
"Old World, New World.","[55.700801, 12.545186]",1930,
Thorbjørn Risager.,"[55.65525909999999, 12.2956019]",2000,185
Paul Harrison Band på 20 års jubilæumsturné.,"[55.73196, 12.3625764]",2000,120
Tyga.,"[55.6680529, 12.5439823]",2000,300
Route 66 - 60'er musik - Roosters.,"[55.8155789, 12.4025647]",2030,100
Hayseed Dixie.,"[55.673854, 12.597078]",2100,170
Banana Republiq feat. Chris Clermont (US).,"[55.666846, 12.5762349]",2100,100
Mgp 18 Galla - København.,"[55.6575405, 12.5905654]",1100,180
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
Jonathan Siahaan.,"[55.678747, 12.498775]",0030,
"""Pepper Spray"".","[55.68379270000001, 12.5762312]",1430,100
Koncertserien 24 - koncerter med unge talenter.,"[55.686089, 12.533412]",1600,
Koncert: Beethoven#2.,"[55.7086447, 12.4771908]",1900,
Ester Brohus.,"[55.70451199999999, 12.55428]",2000,225
Sko / torp.,"[55.666846, 12.5762349]",2000,225
Roxy Jules + Wild Forest.,"[55.6865864, 12.4914135]",2030,70
Heimatt.,"[55.6575405, 12.5905654]",2100,170
Here Lies Man (US).,"[55.6915274, 12.560277]",2100,135
Åh Abe - Børne Jazzkoncert.,"['None', 'None']",1300,55
Kastelskirkens Søndagskoncerter.,"['None', 'None']",1400,
Koncert i Solgårdens Café.,"[55.788641, 12.458762]",1430,
Prædikerens Bog og Skibsforlis for stemme og orgel.,"[55.6729387, 12.5942102]",1500,
"""Cohen i kirken"".","[55.6478938, 12.6049463]",1600,
Palæ Bar Jazz.,"[None, None]",1700,
Halfdanskerne.,"[55.666846, 12.5762349]",1930,120
The Killers.,"[55.6252114, 12.5736741]",2000,480
Superorganism (UK/US).,"[55.6680529, 12.5439823]",2000,135
Mestre på Mandage - Gert Mortensens 60-års fødselsdagskoncert.,"[55.68111589999999, 12.5528412]",1930,
Rag'n'Bone Man: Grande Reserve Tour.,"[55.681116, 12.552841]",2000,325
PartyNextDoor - Infinity Tour.,"[55.6575405, 12.5905654]",2100,370
