What,Where,When,How_Much
Bersærk + Support - Få Billetter.,"['None', 'None']",2100,95
Casey Jones.,"[55.6733667, 12.5627836]",2100,
Brekete Sounds (Ghana).,"[55.691509, 12.560503]",2100,50
Blues overdrive.,"[55.6756788, 12.5735544]",2200,80
Rust Natklub.,"[55.691235, 12.5592894]",2300,
Tigertræning Legekoncert.,"[55.6663527, 12.6110628]",1000,50
Gospel-workshop for alle!,"[55.77332999999999, 12.505004]",1000,120
Ab/cd - Juleshow.,"[55.68310409999999, 12.5054508]",1100,75
Kalles Store JuleTrommeshow.,"[55.726857, 12.4387779]",1100,
Dans mellem bøgerne med dine børnebørn.,"[55.81376969999999, 12.3780371]",1100,
Big Creek Slim og Peter Nande i Farum Kulturhus.,"[55.8140332, 12.3774072]",1130,
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
Høreforeningen Brøndby Lokalafdeling.Julefrokost med underholdning.,"[55.6676766, 12.4400285]",None,50
Julestue og Julekoncert med Albertslund koret.,"[55.6847112, 12.3700475]",1300,
Julekoncert med Søborggaardkoret.,"[55.7351542, 12.5118229]",1400,
Hvidovre Musikskoles kor.,"[55.649399, 12.478218]",1400,
"""Dynamics"".","[55.68379270000001, 12.5762312]",1430,100
Familiejulekoncert.,"[55.68111589999999, 12.5528412]",1500,
Sigurd fortæller Danmarkshistorie.,"[55.6575405, 12.5905654]",1500,50
Bach - H-mol Messe / Copenhagen Soloists.,"[55.6766342, 12.5836015]",1600,200
Messias i Marmorkirken.,"[55.68506199999999, 12.5892159]",1600,135
Julekoncert med Con Brio-koret.,"['None', 'None']",1600,
Julekoncert CBS International Choir.,"[55.684364, 12.541787]",1600,
Bach: H-mol Messen med Copenhagen Soloists.,"[55.6766342, 12.5836015]",1600,
Caroline Henderson - Julekoncert 2017.,"[55.671907, 12.5552659]",1700,275
Advents Vesper.,"[55.67933859999999, 12.5723587]",1900,
Christmas is Coming.,"[55.6536661, 12.3044149]",1900,150
Juleoratoriet.,"['None', 'None']",1930,
Peter Sommer &amp; Tiggerne.,"[55.6680529, 12.5439823]",2000,225
Chimbos Revival & Innkeepers.,"[55.734582, 12.420383]",2000,
Caroline Henderson - Julekoncert 2017.,"[55.671907, 12.5552659]",2000,275
Stillborn.,"[55.677125, 12.5651939]",2000,210
Mando diao.,"[55.6680529, 12.5439823]",2000,200
Vinbar med tapas og live musik.,"['None', 'None']",2000,
Litauisk julekoncert.,"[55.686089, 12.533412]",2000,190
Ronnie Cuber &amp; Danish All Stars B-3 Band.,"[55.681945, 12.582381]",2000,335
Rachel Foxx (UK).,"[55.6680687, 12.5444302]",2000,135
Copenhagen Folk Club præsenterer den danske visesanger Fin Alfred og det unge irske band Na Leanai!,"[55.68310409999999, 12.5054508]",2000,70
Rust Live.,"[55.691235, 12.5592894]",2030,
Jon Nørgaard.,"['None', 'None']",2100,200
Klimaforandringer.,"[55.6915274, 12.560277]",2100,100
Nordic Giants (UK) + Support.,"['None', 'None']",2100,95
Suburban Summit #3.,"[55.6578915, 12.3563706]",2100,249
ODZ på Loppen!,"[55.673854, 12.597078]",2100,125
Funky julefest: Papa's Got a Brand New Bag - James Brown Tribute.,"[55.666846, 12.5762349]",2100,175
Big Joe Louis.,"[55.6756788, 12.5735544]",2200,100
Denzel Curry (US).,"[55.691235, 12.5592894]",2300,
Flavour.,"[55.691235, 12.5592894]",2300,
Julekoncert Lyngby Scenekunst.,"[55.6568846, 12.3557788]",1300,
"Julesang, juleklip og hygge v. Mathias Hammer.","['None', 'None']",1300,
Julematiné i Kilden.,"[55.6676766, 12.4400285]",1300,
Mig og kunsten. Koncert med Bent Fabricius-Bjerre.,"[55.6888127, 12.5783303]",1400,225
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Julekoncert med Harmonize.,"['None', 'None']",1500,
Trio Satie Salonkoncert med julestemning.,"['None', 'None']",1500,100
Lars Thorborg: 30 år i Jazzens Tjeneste.,"[55.681945, 12.582381]",1500,60
Adventskoncert i Bagsværd Kirke.,"[55.761681, 12.444827]",1500,
Koncert med Sct. Thomas kirkes kammerkor.,"[55.684364, 12.541787]",1500,
Kor Koncert.,"[55.682312, 12.536254]",1500,
Adventskoncert og fællessang over Martin Luthers salmer.,"[55.64157100000001, 12.293212]",1500,
Julestøttekoncert v/ amalie og kons studerende.,"[None, None]",1500,
Julekoncert.,"[55.657117, 12.443056]",1500,
Det Danske Sangselskab.,"[55.68221, 12.5525251]",1500,100
Messias i Marmorkirken.,"[55.68506199999999, 12.5892159]",1600,135
Prætorius: Julemesse Med Trinitatis Kantori Og Kammerorkester.,"[55.6815933, 12.5761475]",1600,140
100% Jul med Gospelgeneration KIDS &amp; NEXT.,"[55.658672, 12.6058451]",1600,50
Rytmisk julekoncert.,"[55.637898, 12.3655291]",1600,
"Adventskoncert med Messiaskirkens Koncertkor: Vivaldi Gloria, Bach Magnificat.","[55.745368, 12.567052]",1600,
Julekoncert med Pavlovskys Balalajkaorkester.,"[55.7106939, 12.4847902]",1600,
Koncert med Rasmus Lyberth.,"[55.6725191, 12.5872964]",1700,
Jazzkoncert.,"[55.65691899999999, 12.3578431]",1800,250
Julekoncer Hellerup Scenekunst.,"[55.6568846, 12.3557788]",1830,
Northlane (AUS).,"[55.6680529, 12.5439823]",1900,200
Koncert med Lundehus -og Hans Egede kirkekor.,"['None', 'None']",1930,
Danmark Synger Julen Ind.,"[55.6575405, 12.5905654]",1945,160
Dicte Hempler - The Dark and Stormy Sessions.,"[55.6575405, 12.5905654]",2000,270
Ski Mask The Slump God.,"[55.677125, 12.5651939]",2000,280
Kims Jul.,"[55.6766342, 12.5836015]",2000,275
Julekoncert med solist Christina Boelskifte.,"['None', 'None']",2000,
Kim Sjøgrens julekoncert.,"[55.6766342, 12.5836015]",2000,
Big Creek Slim.,"[55.6756788, 12.5735544]",2130,
Cantus Koret synger julen ind i FRB.C.,"[55.681423, 12.533772]",1700,
Julekoncert med Kuhlaukoret.,"[55.7650325, 12.4978003]",1900,
Italiensk Julekoncert på Metronomen.,"[55.686089, 12.533412]",1930,70
Mestre på Mandage XI.,"[55.68221, 12.5525251]",1930,
Danish Music Awards Jazz 2017.,"[55.6768444, 12.5611143]",1930,120
Kammermusikforeningen af 1887: Julekoncert med Zapolski Strygerne.,"[55.6725191, 12.5872964]",1930,
Julekoncert med Farum Gospel.,"[55.81365340000001, 12.3854586]",1930,
JuleKoncert med OBG.,"[55.60288629999999, 12.5876567]",1930,
Julekoncert med Joyful Nation.,"[55.6264048, 12.4857245]",1930,
Jazz på Brøndby Musikskole.,"[55.646425, 12.413561]",2000,
Monday Juke Joint.,"[55.6756788, 12.5735544]",2130,
Carols by Candlelight - udendørs.,"[55.66950259999999, 12.5479884]",1630,
DKDM's Symfoniorkester spiller Petrusjka.,"[55.68111589999999, 12.5528412]",1700,
Julekoncert med Musikhøjskolen.,"[55.6799666, 12.5289164]",1830,
100% Jul.,"[55.658672, 12.6058451]",1900,50
Julekoncert med tre lokale kor.,"[55.66489679999999, 12.6044399]",1900,
Ann-Mette Elten Julekoncert 2017.,"[55.6264048, 12.4857245]",1930,150
Na Leanai.,"[55.7305364, 12.3522152]",1930,140
Julekoncert med Tritonuskoret.,"[55.7351542, 12.5118229]",1930,
Julekoncert med Helleruplundkoret.,"[55.736265, 12.5554159]",1930,
Koncert m/ Marie Carmen Koppel.,"[55.6536661, 12.3044149]",1930,
Julekoncert med Ann-Mette Elten.,"[55.6264048, 12.4857245]",1930,
Spillemandsdansen spiller op til folkedans på Lindegaarden - Caféaften - Ingen undervisning.,"[55.776205, 12.5050708]",1930,100
The Necks (AU).,"[55.6874816, 12.546173]",2000,160
Tank And The Bangas (US).,"[55.6680529, 12.5439823]",2000,175
Royal Thunder.,"[55.677125, 12.5651939]",2000,185
Releasekoncert med Baobab Sisters.,"[55.691509, 12.560503]",2000,
Americana tuesday.,"[55.6756788, 12.5735544]",2100,
Jeppe Gram Quartet feat. Jakob Dinesen.,"[None, None]",2100,100
Jule sang eftermiddag.,"[55.6676766, 12.4400285]",1500,
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"[55.6808557, 12.5331994]",1630,
Kirkeministerens Julekoncert.,"[55.6766342, 12.5836015]",1630,
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Jazz: Dagens Jazz.,"[55.76075609999999, 12.4568021]",1900,
Julekoncert med Musikhøjskolen.,"[55.686089, 12.533412]",1900,
Julekoncert med Gospelkoret Faith.,"[55.7650325, 12.4978003]",1900,
Trio Miilman-Thomsen-Rehling.,"[None, None]",1930,150
Debutkoncert - Einar Kyvik Bauge.,"[55.68111589999999, 12.5528412]",1930,
Julekoncert i Frederiksberg Slotskirke.,"[55.6718189, 12.5276756]",1930,
Søren Kristiansen Trio.,"[55.681945, 12.582381]",2000,260
Mastodon (us) - Udsolgt.,"[55.6680529, 12.5439823]",2000,360
Little Steven & The Disciples Of Soul - Få Billetter.,"['None', 'None']",2000,480
Chief 1 m. band.,"[55.7018511, 12.4980497]",2000,120
EZRA live på Loppen.,"[55.673854, 12.597078]",2030,40
Nothing More.,"[55.677125, 12.5651939]",2100,195
Tim Hagans / Marek Konarski Quintet.,"[None, None]",2100,168
Bechmann Sidenius.,"[55.6756788, 12.5735544]",2130,
Lunchkoncert med cellosuiter af J.S. Bach.,"[None, None]",1300,
Frederiksberg GameLAB - bibliotekets brætspilsklub.,"[55.6795981, 12.550807]",1600,
The Spirit of New Orleans Koncert - Fru Jensen's Selskabelige Forening.,"[55.6493233, 12.2051024]",1800,195
Anders Blichfeldt solo.,"[55.5933194, 12.6720892]",1800,
TestmannJazz.,"['None', 'None']",1900,
2 klaverer - 4 hænder.,"[55.7086447, 12.4771908]",1900,
ØEN præsenterer: Nyctophilia.,"['None', 'None']",1900,
Afkham &amp; Aimard.,"[55.6575405, 12.5905654]",1930,85
Guitaristen Gery Ryan.,"[55.68221, 12.5525251]",1930,
Koncert for trompet og orgel.,"[55.684364, 12.541787]",1930,
Efterårshøjskolen: Jørgen Schou-Pedersen &amp; ensemblet Anello samt Davids kirkes renæssancetrio:.,"['None', 'None']",1930,
"Benny Andersen, Poul &amp; Halfdan.","[55.7395721, 12.4933224]",1930,
Julekoncert med Vallensbækkoret.,"[None, None]",1930,
King krule.,"[55.6680529, 12.5439823]",2000,
Enter Shikari (UK).,"['None', 'None']",2000,245
Jacob Fischer 50th Anniversary.,"[55.681945, 12.582381]",2000,270
Mads Tolling Quartet hos Paradise Jazz.,"[None, None]",2100,
Mads Tolling Quartet.,"[None, None]",2100,100
Julekoncert med Brøndby Blæserorkester.,"[55.646425, 12.413561]",1730,
Julekoncert med Gladsaxe Musikskole.,"[55.7563963, 12.4763035]",1800,
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Korkoncert med Doo Wop.,"[55.6929642, 12.5442185]",1900,
J. S. Bach: Juleoratoriet v/Camerata Øresund.,"[55.622722, 12.419094]",1900,
Violinminiaturer.,"[55.68221, 12.5525251]",1930,
Julekoncert med Musikhøjskolen.,"[55.6787723, 12.5314573]",1930,
Orgelmesterkoncert.,"[55.7165482, 12.533708]",1930,
Julekoncert med kirkens julekor og kantori.,"[55.721258, 12.528307]",1930,
John Smith (UK).,"[55.6680687, 12.5444302]",2000,115
Pretty Maids + Eclipse (S).,"['None', 'None']",2000,270
Jacob Fischer 50th Anniversary.,"[55.681945, 12.582381]",2000,270
Julekoncert med Helle Thun.,"[55.650884, 12.533831]",2000,
Julekoncert med Virumkoret.,"['None', 'None']",2000,
Koncert med Sinne Eeg og Søren Sko.,"[55.6725191, 12.5872964]",2000,
Julekoncert Daniakoret.,"[55.7343566, 12.5728859]",2000,
Marshall Cecil.,"[55.673854, 12.597078]",2030,60
Aksglæde.,"[55.6680529, 12.5439823]",2100,165
Peter Marott X-Mas Band.,"[None, None]",2100,100
Blues Jam.,"[55.6756788, 12.5735544]",2200,
Klokkespilskoncert.,"[55.6729387, 12.5942102]",1500,
Dinesen/Kock Hansen Duo.,"[55.68379270000001, 12.5762312]",1530,100
December jazz.,"[55.6321998, 12.6227412]",1530,
Fyraftenskoncert med Ruben Munk.,"[55.7496659, 12.5414939]",1630,
Fredagskoncert: Copenhagen Saxophone Quartet.,"[55.6815933, 12.5761475]",1630,
Advent II.,"[55.6799666, 12.5289164]",1700,
Forte EP release & live show.,"['None', 'None']",1700,
Julekoncert med Det Unge Vokalensemble.,"[55.66950259999999, 12.5479884]",1700,
Adventskoncert med Solbjerg Kirkes Koncertkor.,"[55.6799666, 12.5289164]",1700,
Julemusik med elever fra Frederiksberg Musikhøjskole.,"[None, None]",1700,
Jule Ramslag Spillemndsbal.,"[55.686089, 12.533412]",1800,30
Hotstepper med Café Mix X Mas Jam i KU.BE Frederiksberg.,"[55.68310409999999, 12.5054508]",1800,
Bandaften julespecial og åbningsreception.,"[55.59157399999999, 12.583367]",1900,
Händels Messias.,"[55.6766342, 12.5836015]",1930,175
Mogens Dahls Messias.,"[55.6766342, 12.5836015]",1930,
Christmas Carol Sing-Along.,"[55.679125, 12.577278]",2000,
Norbert Susemihl's Joyful Gumbo.,"[55.7393851, 12.4928069]",2000,100
Morten Ærøs Venner med Kira Martini.,"[55.73196, 12.3625764]",2000,120
Eluveitie.,"[55.677125, 12.5651939]",2000,
Mariam The Believer (SE).,"[55.6680687, 12.5444302]",2000,130
J.S. Bachs Juleoratorium. Sokkelund Sangkor.,"[55.6817515, 12.5894416]",2000,240
Jacob Fischer 50th Anniversary.,"[55.681945, 12.582381]",2000,305
Red Warszawa.,"[55.7700496, 12.4996326]",2100,
Eek-a-mouse Live På Loppen!,"[55.673854, 12.597078]",2100,200
Keith Hopcroft og Claus Nielsen.,"[55.6733667, 12.5627836]",2100,
Big Creek Slim Band.,"[55.6756788, 12.5735544]",2200,80
Lorentz (SE).,"[55.691235, 12.5592894]",2300,
Rust Natklub.,"[55.691235, 12.5592894]",2300,
John Williams' Star Wars- Symfonisk musik for det 21. århundrede.,"[55.6807295, 12.5302891]",1100,
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
J.S. Bachs Juleoratorium. Sokkelund Sangkor.,"[55.6817515, 12.5894416]",1300,240
Julekoncert Østerbro/sydkysten Scenekunst.,"[55.6568846, 12.3557788]",1300,
AB/CD juleshow: The snow must go on.,"[55.666846, 12.5762349]",1400,80
"""Danish JazzQuartet"" &amp; Henrik Bolberg.","[55.68379270000001, 12.5762312]",1430,120
Valby Jazzklub.,"[55.6608168, 12.5183923]",None,75
Juniorakademiets julekoncert.,"[55.68221, 12.5525251]",1500,
Liebe Alte Weihnachtslieder.,"[55.67988, 12.570822]",1500,100
Jul i Vangede 2017.,"[55.7471635, 12.521758]",1500,85
Julekoncert i kirken.,"[55.7735008, 12.5004462]",1500,
Messias-koncert.,"[55.7343566, 12.5728859]",1500,
Händels Messias.,"[55.678747, 12.498775]",1500,
DR's Store Juleshow.,"[55.6575405, 12.5905654]",1545,155
Julekoncert.,"[55.6733994, 12.5826588]",1600,90
Improvisationsmusik i særklasse.,"[55.67061899999999, 12.5366955]",1600,50
Julekoncert med Svanholm Singers. 4. koncert i Lyngby Taarbæk Musikforening.,"[55.7650325, 12.4978003]",1600,
Claudius-korets julekoncert.,"['None', 'None']",1600,
Claudius korets Julekoncert.,"['None', 'None']",1600,
Julekoncert.,"[55.671907, 12.5552659]",1600,
Julekoncert med Sydhavns Kantori.,"[55.650884, 12.533831]",1600,
Gospelkoncert med Lindehøj Gospel Singers.,"[55.73379509999999, 12.4199956]",1600,
Julekoncert med kirkens motetkor.,"[55.722252, 12.406608]",1600,
Koncert med Jazzmust og Touché.,"[55.6608674, 12.6053029]",1600,
Nordatlantisk julekoncert.,"[55.679125, 12.577278]",1700,
Julekoncert Roskilde Scenekunst.,"[55.6568846, 12.3557788]",1830,
Händels Messias.,"[55.6766342, 12.5836015]",1930,175
Julekoncert med Virumkoret.,"[55.780023, 12.480222]",1930,
Mogens Dahls Messias.,"[55.6766342, 12.5836015]",1930,
Vinbar med tapas og live musik.,"['None', 'None']",2000,
Hymns From Nineveh Julekoncert.,"[55.6725191, 12.5872964]",2000,
RåtKøbenhavn #7 + Efterfest.,"[55.6680687, 12.5444302]",2000,95
Koncert: Nicolai Dunger + The Gun.,"[55.6664495, 12.57937]",2000,
Jacob Fischer 50th Anniversary:.,"[55.681945, 12.582381]",2000,305
Los Cubraz spiller op til dans den 9. december.,"[55.666846, 12.5762349]",2000,80
Koncert: Ode to the Wind // Karolina Leedo.,"[55.6652, 12.603869]",2000,
Norbert Susemihl's Joyful Gumbo.,"[55.7018511, 12.4980497]",2000,60
Elevatorfører.,"[55.6865864, 12.4914135]",2030,90
Dinner.,"[55.673854, 12.597078]",2100,115
One Ok Rock.,"[55.677125, 12.5651939]",2100,210
Banko med Botoft &amp; Big Band.,"[55.6578915, 12.3563706]",2100,119
Magtens Korridorer - Udsolgt.,"['None', 'None']",2100,285
Red Warszawa Ekstrakoncert.,"[55.7700496, 12.4996326]",2100,
Navidad Flamenca.,"[55.6898151, 12.5563697]",2100,120
Flavour.,"[55.691235, 12.5592894]",2300,
Søndagsjazz. The Spirit Af New Orleans.,"[55.726857, 12.4387779]",1300,50
Wafandes familiekoncert.,"[55.7305364, 12.3522152]",1400,100
Hjertefoeningens Julekoncert.,"[55.679125, 12.577278]",1400,
Ggc.,"[55.745368, 12.567052]",1400,
Koncert i Solgårdens Café.,"[55.788641, 12.458762]",1430,
Julekoncert.,"[55.6716512, 12.5900008]",1500,100
Det Kgl Danske Musikkonservatoriums Børnekor.,"[55.6729387, 12.5942102]",1500,
Svanholm Singers - Julekoncert extraordinaire!,"['None', 'None']",1500,130
Stine Michel Julekoncert.,"[55.6578915, 12.3563706]",1500,60
Juletræf med Barbershopsang.,"[55.686089, 12.533412]",1500,
Julekoncert Til Fordel For The Thin Blue Line.,"[55.6568846, 12.3557788]",1500,
Julekoncert med Koret Facett i Ansgarkirken.,"[55.649952, 12.2077069]",1500,
Navidad Flamenca.,"[55.6652, 12.603869]",1500,100
Koncert med Caroline Henderson.,"[55.6725191, 12.5872964]",1500,
Vi synger julen ind.,"[55.7058607, 12.4986346]",1500,
Koncert - Vox Hospitalis.,"[55.622722, 12.419094]",1500,
Julekoncert.,"['None', 'None']",1500,
Kakaokoncert - jul med Musikhøjskolen!,"[55.678298, 12.507264]",1500,
Händels Messias.,"[55.79529, 12.4630711]",1500,
Julekoncert: Det Danske Drengekor.,"[None, None]",1500,
Gospel Julekoncert med Glostrup Gospel.,"['None', 'None']",1600,100
Julekoncert med Canto Novo Koret.,"['None', 'None']",1600,
Gentofte Gospel Choir Julekoncert.,"[55.745368, 12.567052]",1600,110
De ni læsninger.,"[55.66489679999999, 12.6044399]",1600,
Julen synges ind.,"[55.7389716, 12.3651748]",1600,
Panumkorets julekoncert.,"[55.691864, 12.5345859]",1600,
Adventskoncert med Jesuskirkens Kor.,"[55.6654631, 12.5221597]",1600,
Koncert.,"[55.78595, 12.3762276]",1600,
Julekoncert med Gospelkoret GOOD HOPE.,"[None, None]",1600,
Hjerteforeningens Julekoncert.,"[55.679125, 12.577278]",1600,
Belmontkorets julekoncert.,"[55.7055957, 12.5094961]",1600,
Farumkoret - Julekoncert.,"[55.81365340000001, 12.3854586]",1600,
Koncert med Nordenklang.,"[55.6929642, 12.5442185]",1600,
Alberte Winding Og Andreas Fuglbæk.,"['None', 'None']",1630,
Copenhagen Festival Ensembles julekoncert.,"[55.68283530000001, 12.5898708]",1700,
De 9 læsninger.,"[55.6766342, 12.5836015]",1700,
Koncert med Caroline Henderson.,"[55.6725191, 12.5872964]",1800,
Koncert.,"[55.7638758, 12.3990263]",1900,
Julekoncert med Sydhavns Kantori.,"[55.666188, 12.5040479]",1930,
Julekoncert.,"[55.6224687, 12.1854236]",1930,
"Julekoncert med GS Mandskor, orkester og solist.","['None', 'None']",2000,
Elevkoncert med sang.,"[55.686089, 12.533412]",2000,
Sissel Kyrkjebø - Sissels Jul - Ekstra koncert.,"[55.682018, 12.6006229]",1730,450
Händels Messias - et rum for julefreden.,"[55.67933859999999, 12.5723587]",1930,160
Danmarks Underholdningsorkester Julekoncert 2017.,"[55.6817515, 12.5894416]",1930,225
Claudius korets julekoncert.,"[55.691864, 12.5345859]",1930,
Händels Messias.,"[55.67933859999999, 12.5723587]",1930,105
Julekoncert med Kammerkoret Nye Toner.,"[55.6725191, 12.5872964]",1930,
Claudiuskorets julekoncert.,"[55.691864, 12.5345859]",1930,
Kom og dans eller spil med i Brøndby Spillemandslaug og Dansere.,"[None, None]",1930,
Koncert med Ydunkoret.,"[55.780023, 12.480222]",1930,
Juleoratoriet anno 2017 af Thomas Agerfeldt Olesen.,"[55.6766342, 12.5836015]",2000,175
Kelela (us).,"[55.677125, 12.5651939]",2000,
Marc E. Bassy (US).,"[55.6680529, 12.5439823]",2000,175
Piano Night v. Esben Just m. 9 (NI!!!) pianister.,"[55.6808557, 12.5331994]",2000,
Julekoncert med Kammerkoret Audite.,"['None', 'None']",2000,50
King Size Big Band m. Laura Olivia Dollerup (vokal) Dir. Thomas Stolting.,"[None, None]",2000,100
Monday Juke Joint.,"[55.6756788, 12.5735544]",2130,
Julesyngsammen for de mindste.,"[55.627043, 12.450452]",1030,
Frederiksberg GameLAB - bibliotekets brætspilsklub.,"[55.6795981, 12.550807]",1600,
Julemusik på Kilden.,"[55.6676766, 12.4400285]",1630,
Mød de klassiske stjernefrø: Jeanine Markley.,"[55.68100339999999, 12.5303327]",1700,
Kurt Ravn - Årets Julekoncert 2017.,"[55.6766342, 12.5836015]",1700,215
Luciakoncert med Det Danske Pigekor.,"[55.7496659, 12.5414939]",1700,
Kurt Ravns Julekoncert.,"[55.6766342, 12.5836015]",1700,
Julekoncert Panumkoret.,"[55.6890936, 12.4509157]",1800,
Julekoncerterne Sjællandske Kor &amp; Vokal Ensembler.,"[55.686089, 12.533412]",1930,
Julekoncerten 2017 - Marie Carmen Koppel | Gammelgaard.,"[55.744256, 12.423286]",1930,100
Julekoncert med Kammerkoret Carmina.,"[55.6725191, 12.5872964]",1930,
Vocal Frostbite.,"['None', 'None']",1930,
Julekoncert med Lyngby Kammerkor.,"[55.7650325, 12.4978003]",1930,
Julekoncert med Synkoperne.,"[55.7018511, 12.4980497]",1930,
Koncert med Strygerne fra Hvidovre Musikskole.,"[55.6264048, 12.4857245]",1930,
Julebal i Spillemandsdansen. Vi spiller op på Lindegaarden.,"[55.776205, 12.5050708]",1930,
Julekoncert med Stengård kirkes Pigekor.,"[55.7563963, 12.4763035]",1930,
Iamddb (uk).,"[55.6680687, 12.5444302]",2000,165
Club Klondyke.,"[55.7700496, 12.4996326]",2000,
Händels Messias.,"[55.7320396, 12.5406703]",2000,
Open mic for RBU.,"[55.67636659999999, 12.5747082]",2000,25
Kjeld Lauritsen trio feat. Live Foyn Friis.,"[None, None]",2100,100
Luciaoptog.,"[55.681423, 12.533772]",1630,
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"[55.6808557, 12.5331994]",1630,
Julekoncert med Simeons Kirkes børnekor.,"[55.693708, 12.553396]",1700,
Børnekorenes Julekoncert.,"[55.667995, 12.435437]",1730,
Julekoncerter 2017 / Concerto Copenhagen.,"[55.6815933, 12.5761475]",1800,200
Luciakonert Spirekor.,"[55.7394288, 12.4727157]",1800,
"Julekoncert med koret ""Ekko"".","[55.700801, 12.545186]",1800,
Juloekoncert.,"[55.60288629999999, 12.5876567]",1900,
Musikcafe i Sognets hus.,"[55.64504, 12.406354]",1900,
Julekoncert med Musikhøjskolen.,"[55.6787723, 12.5314573]",1900,
Julekoncert med Musikhøjskolen.,"[55.68310409999999, 12.5054508]",1900,
Händels Messias.,"[55.679125, 12.577278]",1900,
Luciaaften.,"[55.60288629999999, 12.5876567]",1900,
Debutkoncert - Wu Yan.,"[55.68111589999999, 12.5528412]",1930,
Kammermusikforeningen af 1911: Julekoncert m. Andreas Brantelid og Elisabeth Westenholz.,"[55.6817515, 12.5894416]",1930,130
Julekoncert med Skovlundekoret.,"[55.722252, 12.406608]",1930,
Julekoncert med DVL Sangkoret.,"[55.7106939, 12.4847902]",1930,
Janka Nabay &amp; The Bubu Gang (SL/US).,"[55.6680529, 12.5439823]",2000,
Makiko Hirabayashi Trio.,"[55.7700496, 12.4996326]",2000,50
Julekoncert - kor og messing.,"[55.6766342, 12.5836015]",2000,150
Koncert med Paul Potts - udsolgt.,"[55.6725191, 12.5872964]",2000,
Dialogkoncert om følelser og forandring - musik på grænsen mellem klassisk og jazz.,"[55.647423, 12.60512]",None,
Klarinet i lange baner.,"[55.6787723, 12.5314573]",2000,
The Minds Of 99 - Udsolgt.,"[55.6680529, 12.5439823]",2000,270
Tarawangsawelas + Karinding Attack (ID).,"[55.6915274, 12.560277]",2000,120
Christina von Bülow m.fl.,"[55.681945, 12.582381]",2000,275
Chimbos Revival.,"[55.6722627, 12.5560005]",2000,120
"Johnny Madsen, Knud Møller &amp; Henrik From (Akustisk) - Udsolgt!","[55.68181879999999, 12.4566722]",2000,295
Bål &amp; Brand + Rovdrift - folk/rock.,"[55.6808557, 12.5331994]",2000,
Storbyen: Det urbane liv i ord og musik.,"[55.68862000000001, 12.561883]",2000,
Koncert: El: Bwoy De Bhajan 8 Shield 8 Pearlcorder 8 Verdin 8 Abalone.,"[55.6664495, 12.57937]",2000,
Slade (uk) + Support - Få Billetter.,"['None', 'None']",2000,315
Rafael Molinas Passion Flamenca.,"[55.6467245, 12.5300743]",2000,60
Fool & Rosegold - Få Billetter.,"[55.6680687, 12.5444302]",2000,60
Asfaltens blomsterbørn.,"[55.6736932, 12.5994089]",2000,
Penny Police + Death Machines.,"[55.6865864, 12.4914135]",2030,70
Lord Vicar og Hadron på Loppen.,"[55.673854, 12.597078]",2030,80
Cezinando (NO).,"[55.6680529, 12.5439823]",2100,145
Spitanger (dk) + Support: Tba.,"[55.67636659999999, 12.5747082]",2100,75
Lone Selmer / Dagslys.,"[None, None]",2100,112
Blues Jam.,"[55.6756788, 12.5735544]",2200,
Smif-N-Wessun med special guest Meyhem Lauren.,"[55.673854, 12.597078]",2030,149
Johan Bylling Lang Organ Quintet.,"[None, None]",2100,100
Julefest.,"[55.652105, 12.31736]",0400,
Jazz Lounge.,"[55.7018511, 12.4980497]",1300,
Julekoncert med kirkens kor.,"[55.722252, 12.406608]",1700,
Koncert med Marie Carmen Koppel.,"[55.6725191, 12.5872964]",1700,
"Bent Fabricius-Bjerre og trioen ""De Græd"".","[55.5933194, 12.6720892]",1800,515
Julekoncert med Musica Ficta.,"[55.6876497, 12.5872221]",1800,
Julekoncert med skoleorkestre.,"[55.646425, 12.413561]",1830,
"Sankt Johannes Kirkes julekoncert med Kirkenskor, Saaby Børnekor og voksenkor samt TRUT.","[55.691804, 12.561817]",1900,
Sangaften med fremtidens stjerner på MGK.,"[55.6787723, 12.5314573]",1900,
Julekoncert med Musikhøjskolen.,"[55.686089, 12.533412]",1900,
Koncert: Visuel Virtuose med Farfars Tobak + Colours On Canvas // Talentscenen.,"[55.6664495, 12.57937]",1900,
Julekoncert.,"[55.724295, 12.471339]",1900,
Händels Messias.,"[55.679125, 12.577278]",1900,
Blue Covers' julekoncert.,"[55.7018511, 12.4980497]",1900,
Jul i viseforeningen.,"[55.7395721, 12.4933224]",1900,
G-force jule- afslutningskoncert.,"[55.6966243, 12.5446128]",1900,
Luisi &amp; Beethovens 7.,"[55.6575405, 12.5905654]",1930,85
High T Big Band og Malene Mortensen : Swinging Christmas.,"[55.68181879999999, 12.4566722]",1930,120
Julekoncert med Det Danske Drengekor.,"[55.736265, 12.5554159]",1930,
